"Original Position (x, y)","New Position (row, col)"
"(0, 0)","(0, 15)"
"(0, 1)","(0, 14)"
"(0, 2)","(0, 13)"
"(0, 3)","(0, 12)"
"(0, 4)","(0, 11)"
"(0, 5)","(0, 10)"
"(0, 6)","(0, 9)"
"(0, 7)","(0, 8)"
"(1, 0)","(0, 7)"
"(2, 0)","(0, 6)"
"(3, 0)","(0, 5)"
"(4, 0)","(0, 4)"
"(5, 0)","(0, 3)"
"(6, 0)","(0, 2)"
"(7, 0)","(0, 1)"
"(8, 0)","(0, 0)"
"(9, 0)","(1, 0)"
"(10, 0)","(1, 1)"
"(11, 0)","(1, 2)"
"(12, 0)","(1, 3)"
"(13, 0)","(1, 4)"
"(14, 0)","(1, 5)"
"(15, 0)","(1, 6)"
"(15, 1)","(1, 7)"
"(15, 2)","(1, 8)"
"(15, 3)","(1, 9)"
"(15, 4)","(1, 10)"
"(15, 5)","(1, 11)"
"(15, 6)","(1, 12)"
"(15, 7)","(1, 13)"
"(1, 1)","(1, 14)"
"(1, 2)","(1, 15)"
"(1, 3)","(2, 15)"
"(1, 4)","(2, 14)"
"(1, 5)","(2, 13)"
"(1, 6)","(2, 12)"
"(1, 7)","(2, 11)"
"(2, 1)","(2, 10)"
"(3, 1)","(2, 9)"
"(4, 1)","(2, 8)"
"(5, 1)","(2, 7)"
"(6, 1)","(2, 6)"
"(7, 1)","(2, 5)"
"(8, 1)","(2, 4)"
"(9, 1)","(2, 3)"
"(10, 1)","(2, 2)"
"(11, 1)","(2, 1)"
"(12, 1)","(2, 0)"
"(13, 1)","(3, 0)"
"(14, 1)","(3, 1)"
"(14, 2)","(3, 2)"
"(14, 3)","(3, 3)"
"(14, 4)","(3, 4)"
"(14, 5)","(3, 5)"
"(14, 6)","(3, 6)"
"(14, 7)","(3, 7)"
"(2, 2)","(3, 8)"
"(2, 3)","(3, 9)"
"(2, 4)","(3, 10)"
"(2, 5)","(3, 11)"
"(2, 6)","(3, 12)"
"(2, 7)","(3, 13)"
"(3, 2)","(3, 14)"
"(4, 2)","(3, 15)"
"(5, 2)","(4, 15)"
"(6, 2)","(4, 14)"
"(7, 2)","(4, 13)"
"(8, 2)","(4, 12)"
"(9, 2)","(4, 11)"
"(10, 2)","(4, 10)"
"(11, 2)","(4, 9)"
"(12, 2)","(4, 8)"
"(13, 2)","(4, 7)"
"(13, 3)","(4, 6)"
"(13, 4)","(4, 5)"
"(13, 5)","(4, 4)"
"(13, 6)","(4, 3)"
"(13, 7)","(4, 2)"
"(3, 3)","(4, 1)"
"(3, 4)","(4, 0)"
"(3, 5)","(5, 0)"
"(3, 6)","(5, 1)"
"(3, 7)","(5, 2)"
"(4, 3)","(5, 3)"
"(5, 3)","(5, 4)"
"(6, 3)","(5, 5)"
"(7, 3)","(5, 6)"
"(8, 3)","(5, 7)"
"(9, 3)","(5, 8)"
"(10, 3)","(5, 9)"
"(11, 3)","(5, 10)"
"(12, 3)","(5, 11)"
"(12, 4)","(5, 12)"
"(12, 5)","(5, 13)"
"(12, 6)","(5, 14)"
"(12, 7)","(5, 15)"
"(4, 4)","(6, 15)"
"(4, 5)","(6, 14)"
"(4, 6)","(6, 13)"
"(4, 7)","(6, 12)"
"(5, 4)","(6, 11)"
"(6, 4)","(6, 10)"
"(7, 4)","(6, 9)"
"(8, 4)","(6, 8)"
"(9, 4)","(6, 7)"
"(10, 4)","(6, 6)"
"(11, 4)","(6, 5)"
"(11, 5)","(6, 4)"
"(11, 6)","(6, 3)"
"(11, 7)","(6, 2)"
"(5, 5)","(6, 1)"
"(5, 6)","(6, 0)"
"(5, 7)","(7, 0)"
"(6, 5)","(7, 1)"
"(7, 5)","(7, 2)"
"(8, 5)","(7, 3)"
"(9, 5)","(7, 4)"
"(10, 5)","(7, 5)"
"(10, 6)","(7, 6)"
"(10, 7)","(7, 7)"
"(6, 6)","(7, 8)"
"(6, 7)","(7, 9)"
"(7, 6)","(7, 10)"
"(8, 6)","(7, 11)"
"(9, 6)","(7, 12)"
"(9, 7)","(7, 13)"
"(7, 7)","(7, 14)"
"(8, 7)","(7, 15)"
"(0, 8)","(0, 16)"
